Carpark Number,Carpark Type,Type of Parking System,Address
HG1F,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 229 HOUGANG STREET 21
HG10,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 101-108 HOUGANG AVENUE 1
HG11,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 301-319 HOUGANG AVENUE 5
HG12,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 320-324 HOUGANG AVENUE 5
HG13,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 325/326 HOUGANG AVENUE 7
HG14,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 327-328,332-334,358-363 HOUGANG AVENUE 5"
HG15,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 208-210 HOUGANG STREET 21
HG16,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 211-212 HOUGANG STREET 21
HG17,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 231/233/235/237 HOUGANG STREET 21
HG18,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 230/232/234/236/238 HOUGANG AVENUE 1
HG19,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 138-145 LORONG AH SOO
HG2,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 15-18 HOUGANG AVENUE 3
HG2A,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 473 UPPER SERANGOON CRESCENT
HG2B,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 933 HOUGANG AVENUE 9
HG2C,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 364 / 365 UPPER SERANGOON RD
HG2D,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 581,582 AND 582A BUANGKOK GREEN"
HG20,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 128-137 LORONG AH SOO
HG22,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 154-157 HOUGANG STREET 11
HG23,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 239-246 HOUGANG STREET 22
HG24,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 247-254 HOUGANG AVENUE 3
HG26,SURFACE CAR PARK,COUPON PARKING,BLK 335-341 HOUGANG AVENUE 7
HG29,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 351-357 HOUGANG AVENUE 7
HG3A,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 997 BUANGKOK CRESCENT
HG3B,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 991 BUANGKOK LINK
HG3C,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 996 BUANGKOK CRESCENT
HG3D,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 998 BUANGKOK CRESCENT
HG3E,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 993 BUANGKOK LINK
HG3L,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 993A-993B, 994A-994C, 995A-995D, BUANGKOK CRESCENT/BUANGKOK LINK"
HG30,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 464-468 HOUGANG AVENUE 10
HG31,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 414-416 HOUGANG AVENUE 10
HG32,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 601-608 HOUGANG AVENUE 4
HG33,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 609-621 HOUGANG AVENUE 8
HG34,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 622-632 HOUGANG AVENUE 8
HG35,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 701-702,707-710 HOUGANG AVENUE 2"
